	len(train_dataset)  = 12118359
	len(valid_dataset)  = 252934
	len(train_loader)   = 189349
	len(valid_loadernum_iters)   = 3953
	batch_size  = 64
	iter_accum  = 4
	batch_size*iter_accum  = 256
	loading @ initial_checkpoint = ./latest/resnet/latest.pth
=> loaded checkpoint './latest/resnet/latest.pth' (epoch: 5.961467225059103, iter: 282200.0, best_train_acc: 0.72015625, best_valid_acc: 0.6940684713375797)** start training here! **
	optimizer=<torch.optim.sgd.SGD object at 0x7fa75da4d7b8>
   rate   iter   epoch  | valid_loss/acc | train_loss/acc | batch_loss/acc | total time | avg iter time | i j |
----------------------------------------------------------------------------------------------------------------
0.0005  282.5 k   5.97  | 1.3494  0.6930 | 1.2376  0.7162 | 0.9724  0.7656 |    35 min |  1.21 s | 282525,1300 
0.0005  282.5 k   5.97  | 1.3494  0.6930 | 1.2308  0.7176 | 1.1257  0.7344 |    36 min |  1.21 s | 282530,1320 
0.0005  282.5 k   5.97  | 1.3494  0.6930 | 1.2441  0.7154 | 1.8555  0.5781 |    36 min |  1.21 s | 282535,1340 
0.0005  282.5 k   5.97  | 1.3494  0.6930 | 1.2536  0.7130 | 0.9892  0.7812 |    37 min |  1.21 s | 282540,1360 
0.0005  282.5 k   5.97  | 1.3494  0.6930 | 1.2509  0.7147 | 1.1453  0.7656 |    37 min |  1.21 s | 282545,1380 
0.0005  282.6 k   5.97  | 1.3494  0.6930 | 1.2544  0.7134 | 1.3282  0.6719 |    38 min |  1.21 s | 282550,1400 
0.0005  282.6 k   5.97  | 1.3494  0.6930 | 1.2772  0.6891 | 1.3374  0.7188 |    38 min |  1.21 s | 282555,1420 
0.0005  282.6 k   5.97  | 1.3494  0.6930 | 1.2107  0.7111 | 1.3364  0.6250 |    39 min |  1.21 s | 282560,1440 
0.0005  282.6 k   5.97  | 1.3494  0.6930 | 1.2178  0.7103 | 1.6230  0.6250 |    39 min |  1.21 s | 282565,1460 
0.0005  282.6 k   5.97  | 1.3494  0.6930 | 1.2482  0.7091 | 0.7727  0.7812 |    40 min |  1.21 s | 282570,1480 
0.0005  282.6 k   5.97  | 1.3494  0.6930 | 1.2380  0.7128 | 0.9428  0.7969 |    40 min |  1.21 s | 282575,1500 
0.0005  282.6 k   5.97  | 1.3494  0.6930 | 1.2347  0.7140 | 0.9196  0.7344 |    41 min |  1.21 s | 282580,1520 
0.0005  282.6 k   5.97  | 1.3494  0.6930 | 1.2314  0.7164 | 1.4630  0.7031 |    42 min |  1.21 s | 282585,1540 
0.0005  282.6 k   5.97  | 1.3494  0.6930 | 1.2436  0.7146 | 1.5614  0.6250 |    42 min |  1.21 s | 282590,1560 
0.0005  282.6 k   5.97  | 1.3494  0.6930 | 1.2472  0.7157 | 0.9606  0.7500 |    43 min |  1.21 s | 282595,1580 
0.0005  282.6 k   5.97  | 1.3494  0.6930 | 1.2380  0.7167 | 1.2397  0.7656 |    43 min |  1.21 s | 282600,1600 
0.0005  282.6 k   5.97  | 1.3494  0.6930 | 1.3157  0.6842 | 1.0176  0.7031 |    44 min |  1.21 s | 282605,1620 
0.0005  282.6 k   5.97  | 1.3494  0.6930 | 1.2815  0.7023 | 1.6045  0.6562 |    44 min |  1.21 s | 282610,1640 
0.0005  282.6 k   5.97  | 1.3494  0.6930 | 1.2538  0.7034 | 0.9072  0.7500 |    45 min |  1.21 s | 282615,1660 
0.0005  282.6 k   5.97  | 1.3494  0.6930 | 1.2587  0.7019 | 1.6575  0.5781 |    45 min |  1.21 s | 282620,1680 
0.0005  282.6 k   5.97  | 1.3494  0.6930 | 1.2739  0.7014 | 1.1255  0.7500 |    46 min |  1.21 s | 282625,1700 
0.0005  282.6 k   5.97  | 1.3494  0.6930 | 1.2722  0.7010 | 0.8606  0.7969 |    46 min |  1.21 s | 282630,1720 
0.0005  282.6 k   5.97  | 1.3494  0.6930 | 1.2798  0.6999 | 1.6872  0.6250 |    47 min |  1.21 s | 282635,1740 
